data/test/go_02_22_2016.obo: fmt(1.2) rel(2016-02-20) 44,127 GO Terms
data/test/goslim_metagenomics_02_22_2016.obo: fmt(1.2) rel(None) 161 GO Terms
GO:0006596	GO:0006807;GO:0009058
GO:0015979	GO:0015979
GO:0045596	GO:0008150
GO:0016459	GO:0005575
GO:0009941	GO:0005575
GO:0019825	GO:0003674
GO:0006420	GO:0016070;GO:0006520
GO:0035335	GO:0019538
GO:0015343	GO:0005215
GO:0004356	GO:0016874
GO:0006545	GO:0006520;GO:0009058
GO:0009435	GO:0051186;GO:0009058;GO:0009117
GO:0009432	GO:0006950;GO:0007154
GO:0009035	GO:0004518
GO:0044454	GO:0005575
GO:0046165	GO:0044281;GO:0009058
GO:0007050	GO:0008150
GO:0007051	GO:0016043
GO:0007059	GO:0008150
GO:0006099	GO:0044281
GO:0006096	GO:0046034;GO:0009056;GO:0005975;GO:0006091;GO:0051186;GO:0016310
GO:0006094	GO:0044281;GO:0005975;GO:0009058
GO:0005549	GO:0003674
GO:0051249	GO:0008150
GO:0051241	GO:0008150
GO:0015689	GO:0006811
GO:0016337	GO:0008150
GO:0030435	GO:0043934
GO:0030430	GO:0005575
GO:0046649	GO:0002376
GO:0034976	GO:0006950
GO:0007399	GO:0008150
GO:0051495	GO:0008150
GO:0016987	GO:0000988
GO:0015721	GO:0006811
GO:0019898	GO:0005575
GO:0020037	GO:0003674
GO:0006353	GO:0016070;GO:0009058
GO:0004867	GO:0030234
GO:0004869	GO:0030234
GO:0016615	GO:0016491
GO:0019430	GO:0008150
GO:0043953	GO:0006810
GO:0009177	GO:0044281;GO:0006807;GO:0009058
GO:0008889	GO:0016788
GO:0006546	GO:0009056;GO:0006520
GO:0006541	GO:0006520
GO:0005097	GO:0030234
GO:0007160	GO:0008150
GO:0005328	GO:0005215
GO:0000785	GO:0005575
GO:0000786	GO:0005575
GO:0097264	GO:0019538
GO:0006406	GO:0006810
GO:0009378	GO:0004386
GO:0015035	GO:0016491
GO:0030170	GO:0048037
GO:0043022	GO:0003674
GO:0004435	GO:0016298
GO:0031225	GO:0005575
GO:0019048	GO:0016032
GO:0032147	GO:0008150
GO:0006730	GO:0044281
GO:1903034	GO:0008150
GO:0016901	GO:0016491
GO:0016272	GO:0005575
GO:0009507	GO:0005575
GO:0032784	GO:0008150
GO:0005622	GO:0005575
GO:0004571	GO:0016798
GO:0003924	GO:0003924
GO:0003713	GO:0000988
GO:0001664	GO:0005102
GO:0005839	GO:0005575
GO:0015846	GO:0006810
GO:0016567	GO:0019538
GO:0005938	GO:0005737
GO:0003697	GO:0003676
GO:0005201	GO:0003674
GO:0005200	GO:0003674
GO:0015232	GO:0005215
GO:0015238	GO:0005215
GO:0002097	GO:0016070
GO:0017148	GO:0008150
GO:0009236	GO:0044281;GO:0006807;GO:0009058
GO:0009234	GO:0044281;GO:0051186;GO:0009058
GO:0009231	GO:0044281;GO:0006807;GO:0009058
GO:0009581	GO:0008150
GO:0009582	GO:0008150
GO:0048580	GO:0008150
GO:0015171	GO:0005215
GO:0030036	GO:0016043
GO:1902105	GO:0008150
GO:0031349	GO:0008150
GO:0031348	GO:0008150
GO:0000145	GO:0005575
GO:0051087	GO:0003674
GO:0051082	GO:0051082
GO:0080130	GO:0016740
GO:0009791	GO:0008150
GO:0009792	GO:0008150
GO:0046939	GO:0016310;GO:0009117
GO:0034219	GO:0006810
GO:0030915	GO:0005575
GO:0009897	GO:0005575
GO:0004326	GO:0016874
GO:0006879	GO:0042592
GO:0008855	GO:0004518
GO:0008854	GO:0004518
GO:0003746	GO:0003676
GO:0006835	GO:0006811
GO:0007005	GO:0016043
GO:0005516	GO:0003674
GO:0043531	GO:0000166
GO:0016307	GO:0016301
GO:0045152	GO:0003674
GO:0009611	GO:0006950
GO:0005759	GO:0005575
GO:0015926	GO:0016798
GO:0031344	GO:0008150
GO:0006388	GO:0016070
GO:0015833	GO:0006810
GO:0005126	GO:0005102
GO:0005125	GO:0005102
GO:0051003	GO:0016874
GO:0007411	GO:0008150
GO:0070062	GO:0031982
GO:0044718	GO:0006810
GO:0047355	GO:0016740
GO:0009102	GO:0044281;GO:0006807;GO:0006790;GO:0051186;GO:0009058
