# Gene Family	humann2_Abundance
GO:0030091	33.639
GO:0030111	0.276
GO:0030145	370.376
GO:0030151	10.397
GO:0030155	3.204
GO:0030170	1071.182
GO:0030182	0.392
GO:0030245	36.52
GO:0030247	24.775
GO:0030259	59.97
GO:0030288	130.174
GO:0030335	0.056
GO:0030420	18.274
GO:0030430	2.116
GO:0030435	174.713
GO:0030488	181.648
GO:0030522	0.101
GO:0030532	0.061
GO:0030599	36.544
GO:0030674	3.016
GO:0030833	0.009
GO:0030855	0.761
GO:0030955	68.922
GO:0030976	217.782
GO:0030983	138.549
GO:0031047	0.065
GO:0031072	26.953
GO:0031119	121.371
GO:0031177	0.058
GO:0031225	0.297
GO:0031330	0.183
GO:0031334	0.021
GO:0031344	0.089
GO:0031348	0.578
GO:0031349	0.146
GO:0031365	1.112
GO:0031419	99.899
GO:0031514	13.946
GO:0031625	0.194
GO:0031640	0.347
GO:0031965	0.34
GO:0032102	0.23
GO:0032103	0.078
GO:0032147	0.036
GO:0032153	33.642
GO:0032300	27.154
GO:0032386	1.137
GO:0032507	0.094
GO:0032508	363.88
GO:0032580	0.676
GO:0032775	44.73
GO:0032784	61.044
GO:0032844	0.512
GO:0032886	0.211
GO:0033044	0.191
GO:0033179	13.457
GO:0033202	35.199
GO:0033281	27.983
GO:0034219	119.263
GO:0034765	1.098
GO:0034968	0.922
GO:0034976	4.172
GO:0035251	12.705
GO:0035303	13.698
GO:0035335	54.576
GO:0035434	5.815
GO:0035438	6.779
GO:0035461	79.278
GO:0035725	27.069
GO:0036065	29.666
GO:0036265	105.812
GO:0039694	0.007
GO:0042025	0.384
GO:0042158	64.872
GO:0042254	227.415
GO:0042274	56.734
GO:0042277	2.178
GO:0042393	0.671
GO:0042445	4.953
GO:0042542	44.965
GO:0042545	36.75
GO:0042602	47.008
GO:0042742	14.007
GO:0042773	103.167
GO:0042777	250.11
GO:0042803	76.136
GO:0042823	72.518
GO:0043005	0.938
GO:0043022	86.814
GO:0043065	0.358
GO:0043066	4.327
GO:0043093	33.632
GO:0043115	22.594
GO:0043161	1.391
GO:0043165	13.157
GO:0043173	225.362
GO:0043190	271.652
GO:0043225	76.352
GO:0043244	87.077
GO:0043405	0.321
GO:0043410	0.136
GO:0043531	2.913
GO:0043628	31.032
GO:0043687	1.409
GO:0043901	0.319
GO:0043952	37.802
GO:0043953	27.983
GO:0044057	0.634
GO:0044070	41.245
GO:0044205	386.889
GO:0044297	1.12
GO:0044351	31.442
GO:0044441	2.717
GO:0044445	99.971
GO:0044454	0.379
GO:0044708	0.355
GO:0044718	20.146
GO:0044743	0.414
GO:0044780	32.495
GO:0045087	4.248
GO:0045088	1.002
GO:0045152	13.422
GO:0045202	0.18
GO:0045211	0.104
GO:0045226	159.974
GO:0045261	199.327
GO:0045454	189.125
GO:0045493	41.878
GO:0045596	4.915
GO:0045664	4.829
GO:0045787	2.4
GO:0045944	0.088
GO:0046165	25.839
GO:0046349	202.475
GO:0046416	77.99
GO:0046459	64.397
GO:0046649	4.083
GO:0046654	55.145
GO:0046677	176.732
GO:0046835	300.398
GO:0046854	16.462
GO:0046856	0.026
GO:0046901	64.856
GO:0046912	108.998
GO:0046933	292.995
GO:0046939	257.634
GO:0046961	125.125
GO:0046982	8.701
GO:0047134	9.614
GO:0047355	3.971
GO:0047429	125.992
GO:0048015	0.035
GO:0048038	149.07
GO:0048468	3.759
GO:0048471	2.596
GO:0048500	26.371
GO:0048511	1.699
GO:0048513	16.02
GO:0048580	0.569
GO:0048589	7.003
GO:0048598	1.469
GO:0048608	3.566
GO:0048638	0.274
GO:0048812	0.624
GO:0048872	19.737
GO:0050308	29.54
GO:0050660	607.921
GO:0050661	464.704
GO:0050708	0.236
GO:0050832	1.116
GO:0051003	25.669
GO:0051050	1.919
GO:0051051	2.245
GO:0051053	35.167
GO:0051082	203.184
GO:0051087	31.569
GO:0051090	1.838
GO:0051205	30.939
GO:0051241	5.427
GO:0051249	1.554
GO:0051258	48.267
GO:0051260	19.842
GO:0051274	0.595
GO:0051301	864.539
GO:0051495	0.009
GO:0051537	181.687
GO:0051539	1050.077
GO:0051607	15.309
GO:0051656	25.891
GO:0051920	50.78
GO:0051998	7.628
GO:0060429	1.387
GO:0060627	0.164
GO:0061077	0.416
GO:0070062	69.556
GO:0070283	115.82
GO:0070403	77.65
GO:0070469	2.045
GO:0070475	182.089
GO:0070482	33.451
GO:0070526	70.034
GO:0070566	268.701
GO:0070567	108.799
GO:0070568	5.407
GO:0070569	48.011
GO:0070585	0.532
GO:0070588	9.505
GO:0070646	1.142
GO:0071229	3.512
GO:0071265	151.936
GO:0071363	1.111
GO:0071417	5.684
GO:0071478	0.747
GO:0071805	105.095
GO:0071897	311.883
GO:0071902	0.326
GO:0071941	56.684
GO:0071973	107.996
GO:0072488	22.104
GO:0072507	1.499
GO:0072655	0.532
GO:0080130	48.195
GO:0090116	13.297
GO:0090482	79.278
GO:0090502	344.963
GO:0090503	86.57
GO:0097190	0.935
GO:0097264	30.906
GO:0097305	4.509
GO:0097502	3.6
